DESAPARECIDOS POR IDADE E SEXO - Jan/dez de 2017.;;;;;;
;;;;;;
Tabela 1: Pessoas desaparecidas, por idade e sexo, no período de janeiro a dezembro de 2017.;;;;;;
FAIXA ETÁRIA;TOTAL;Participação percentual        %;SEXO;;;
;;;MASC.;%;FEM.;%
ATÉ 11 ANOS;137;5%;82;60%;55;40%
DE 12 A 17 ANOS;1073;39%;338;32%;735;68%
DE 18 A 30 ANOS;670;24%;439;66%;231;34%
DE 31 A 50 ANOS;611;22%;474;78%;137;22%
MAIS DE 50 ANOS;244;9%;180;74%;64;26%
NÃO INFORMADO;32;1%;25;78%;7;22%
TOTAL;2767;100%;1538;56%;1229;44%
Fonte: Banco Millenium - COOAFESP/SGI/SSPDF;;;;;;
;;;;;;
;;;;;;
;;;;;;
DESAPARECIDOS POR IDADE E SEXO - Jan/dez de 2018.;;;;;;
;;;;;;
Tabela 1: Pessoas desaparecidas, por idade e sexo, no período de janeiro a dezembro de 2018.;;;;;;
FAIXA ETÁRIA;TOTAL;Participação percentual        %;SEXO;;;
;;;MASC.;%;FEM.;%
ATÉ 11 ANOS;85;3%;54;64%;31;36%
DE 12 A 17 ANOS;905;36%;306;34%;599;66%
DE 18 A 30 ANOS;594;24%;391;66%;203;34%
DE 31 A 50 ANOS;655;26%;483;74%;172;26%
MAIS DE 50 ANOS;243;10%;180;74%;63;26%
NÃO INFORMADO;31;1%;18;58%;13;42%
TOTAL;2513;100%;1432;57%;1081;43%
Fonte: Banco Millenium - COOAFESP/SGI/SSPDF;;;;;;
;;;;;;
;;;;;;
DESAPARECIDOS POR IDADE E SEXO - Jan/dez de 2019.;;;;;;
;;;;;;
Tabela 1: Pessoas desaparecidas, por idade e sexo, no período de janeiro a dezembro de 2019.;;;;;;
FAIXA ETÁRIA;TOTAL;Participação percentual        %;SEXO;;;
;;;MASC.;%;FEM.;%
ATÉ 11 ANOS;113;4%;65;58%;48;42%
DE 12 A 17 ANOS;903;30%;284;31%;619;69%
DE 18 A 30 ANOS;774;26%;509;66%;265;34%
DE 31 A 50 ANOS;833;28%;582;70%;251;30%
MAIS DE 50 ANOS;305;10%;245;80%;60;20%
NÃO INFORMADO;43;1%;25;58%;18;42%
TOTAL;2971;100%;1710;58%;1261;42%
Fonte: Banco Millenium - COOAFESP/SGI/SSPDF;;;;;;
;;;;;;
;;;;;;
DESAPARECIDOS POR IDADE E SEXO - Jan/dez de 2020.;;;;;;
;;;;;;
Tabela 1: Pessoas desaparecidas, por idade e sexo, no período de janeiro a dezembro de 2020.;;;;;;
FAIXA ETÁRIA;TOTAL;Participação percentual        %;SEXO;;;
;;;MASC.;%;FEM.;%
ATÉ 11 ANOS;67;3%;38;57%;29;43%
DE 12 A 17 ANOS;501;24%;172;34%;329;66%
DE 18 A 30 ANOS;553;27%;383;69%;170;31%
DE 31 A 50 ANOS;666;32%;487;73%;179;27%
MAIS DE 50 ANOS;237;12%;182;77%;55;23%
NÃO INFORMADO;28;1%;18;64%;10;36%
TOTAL;2052;100%;1280;62%;772;38%
Fonte: Banco Millenium - COOAFESP/SGI/SSPDF;;;;;;
;;;;;;
DESAPARECIDOS POR IDADE E SEXO - Jan/dez de 2021.;;;;;;
;;;;;;
Tabela 1: Pessoas desaparecidas, por idade e sexo, no período de janeiro a dezembro de 2021.;;;;;;
FAIXA ETÁRIA;TOTAL;Participação percentual        %;SEXO;;;
;;;MASC.;%;FEM.;%
ATÉ 11 ANOS;58;3%;32;55%;26;45%
DE 12 A 17 ANOS;452;21%;150;33%;302;67%
DE 18 A 30 ANOS;571;27%;414;73%;157;27%
DE 31 A 50 ANOS;733;34%;540;74%;193;26%
MAIS DE 50 ANOS;286;13%;203;71%;83;29%
NÃO INFORMADO;31;1%;17;55%;14;45%
TOTAL;2131;100%;1356;64%;775;36%
Fonte: Banco Millenium - COOAFESP/SGI/SSPDF;;;;;;
